condition_id,ctrl_cost_weight,forward_progress_shaping_weight,lateral_drift_shaping_weight,lateral_drift_shaping_scale,lateral_shaping_signal,lateral_velocity_target,effort_shaping_weight,orientation_shaping_weight,orientation_shaping_scale,orientation_shaping_function,replace_forward_reward_with_tracking,forward_velocity_target,forward_velocity_tracking_scale,forward_velocity_tracking_weight,action_rate_shaping_weight,vertical_velocity_shaping_weight,vertical_velocity_shaping_scale,roll_pitch_angular_velocity_shaping_weight,roll_pitch_angular_velocity_shaping_scale,foot_landing_height_threshold,foot_lateral_velocity_shaping_weight,foot_lateral_velocity_shaping_scale,foot_vertical_velocity_shaping_weight,foot_vertical_velocity_shaping_scale,pitch_balance_shaping_weight,foot_geom_names,ppo_use_sde,ppo_sde_sample_freq,common_rescore_ctrl_cost_weight,action_observation_augmented,action_constraint_enabled,action_slew_l2_limit,training_seed,torch_num_threads,checkpoint_fraction,target_timesteps,actual_model_timesteps,chunk_timesteps_requested,train_elapsed_sec,train_steps_per_sec,eval_episodes,eval_elapsed_sec,model_path
S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",False,-1,0.5,True,False,nan,62402,2,0.25,250000,251904,250000,249.272,1002.92,10,6.124,D:\StudyAgentLab\Projects\RLgroupwork\ExternalRuns\rq1-matched-baseline-formal-20260820-r3\ProxyGap\artifacts\formal\rq1_matched_baseline_v1_20260820\attempt_0\runs\seed_62402\S1_STAGE1_SHAPED\models\S1_STAGE1_SHAPED\checkpoint_250000.zip
S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",False,-1,0.5,True,False,nan,62402,2,0.5,500000,501760,248096,267.553,927.28,10,6.959,D:\StudyAgentLab\Projects\RLgroupwork\ExternalRuns\rq1-matched-baseline-formal-20260820-r3\ProxyGap\artifacts\formal\rq1_matched_baseline_v1_20260820\attempt_0\runs\seed_62402\S1_STAGE1_SHAPED\models\S1_STAGE1_SHAPED\checkpoint_500000.zip
S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",False,-1,0.5,True,False,nan,62402,2,0.75,750000,751616,248240,294.494,842.94,10,6.862,D:\StudyAgentLab\Projects\RLgroupwork\ExternalRuns\rq1-matched-baseline-formal-20260820-r3\ProxyGap\artifacts\formal\rq1_matched_baseline_v1_20260820\attempt_0\runs\seed_62402\S1_STAGE1_SHAPED\models\S1_STAGE1_SHAPED\checkpoint_750000.zip
S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",False,-1,0.5,True,False,nan,62402,2,1.0,1000000,1001472,248384,274.007,906.49,10,6.755,D:\StudyAgentLab\Projects\RLgroupwork\ExternalRuns\rq1-matched-baseline-formal-20260820-r3\ProxyGap\artifacts\formal\rq1_matched_baseline_v1_20260820\attempt_0\runs\seed_62402\S1_STAGE1_SHAPED\models\S1_STAGE1_SHAPED\checkpoint_1000000.zip
S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",False,-1,0.5,True,False,nan,62403,2,0.25,250000,251904,250000,248.504,1006.02,10,6.197,D:\StudyAgentLab\Projects\RLgroupwork\ExternalRuns\rq1-matched-baseline-formal-20260820-r3\ProxyGap\artifacts\formal\rq1_matched_baseline_v1_20260820\attempt_0\runs\seed_62403\S1_STAGE1_SHAPED\models\S1_STAGE1_SHAPED\checkpoint_250000.zip
S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",False,-1,0.5,True,False,nan,62403,2,0.5,500000,501760,248096,266.442,931.14,10,6.997,D:\StudyAgentLab\Projects\RLgroupwork\ExternalRuns\rq1-matched-baseline-formal-20260820-r3\ProxyGap\artifacts\formal\rq1_matched_baseline_v1_20260820\attempt_0\runs\seed_62403\S1_STAGE1_SHAPED\models\S1_STAGE1_SHAPED\checkpoint_500000.zip
S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",False,-1,0.5,True,False,nan,62403,2,0.75,750000,751616,248240,296.744,836.55,10,6.998,D:\StudyAgentLab\Projects\RLgroupwork\ExternalRuns\rq1-matched-baseline-formal-20260820-r3\ProxyGap\artifacts\formal\rq1_matched_baseline_v1_20260820\attempt_0\runs\seed_62403\S1_STAGE1_SHAPED\models\S1_STAGE1_SHAPED\checkpoint_750000.zip
S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",False,-1,0.5,True,False,nan,62403,2,1.0,1000000,1001472,248384,278.365,892.3,10,6.807,D:\StudyAgentLab\Projects\RLgroupwork\ExternalRuns\rq1-matched-baseline-formal-20260820-r3\ProxyGap\artifacts\formal\rq1_matched_baseline_v1_20260820\attempt_0\runs\seed_62403\S1_STAGE1_SHAPED\models\S1_STAGE1_SHAPED\checkpoint_1000000.zip
S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",False,-1,0.5,True,False,nan,62401,2,0.25,250000,251904,250000,249.285,1002.87,10,6.043,D:\StudyAgentLab\Projects\RLgroupwork\ExternalRuns\rq1-matched-baseline-formal-20260820-r3\ProxyGap\artifacts\formal\rq1_matched_baseline_v1_20260820\attempt_0\runs\seed_62401\S1_STAGE1_SHAPED\models\S1_STAGE1_SHAPED\checkpoint_250000.zip
S1_STAGE1_SHAPED,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,0.1,1.0,cosine,True,1.0,0.5,0.5,0.2,0.05,1.014092584749083,0.05,1.9893176307304792,0.03,0.025,1.0,0.025,1.0,0.0,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",False,-1,0.5,True,False,nan,62401,2,0.5,500000,501760,248096,264.574,937.72,10,7.03,D:\StudyAgentLab\Projects\RLgroupwork\ExternalRuns\rq1-matched-baseline-formal-20260820-r3\ProxyGap\artifacts\formal\rq1_matched_baseline_v1_20260820\attempt_0\runs\seed_62401\S1_STAGE1_SHAPED\models\S1_STAGE1_SHAPED\checkpoint_500000.zip
