episode,checkpoint_fraction,target_timesteps,actual_model_timesteps,condition_id,reward_id,constraint_id,ctrl_cost_weight,common_rescore_ctrl_cost_weight,forward_progress_shaping_weight,lateral_drift_shaping_weight,lateral_drift_shaping_scale,lateral_shaping_signal,lateral_velocity_target,effort_shaping_weight,effort_shaping_scale,orientation_shaping_weight,orientation_shaping_scale,orientation_shaping_function,replace_forward_reward_with_tracking,forward_velocity_target,forward_velocity_tracking_scale,forward_velocity_tracking_weight,reward_forward_tracking_sum,reward_forward_replacement_sum,action_rate_shaping_weight,reward_action_rate_shaping_sum,action_rate_penalty_sum,vertical_velocity_shaping_weight,vertical_velocity_shaping_scale,reward_vertical_velocity_shaping_sum,vertical_velocity_penalty_sum,roll_pitch_angular_velocity_shaping_weight,roll_pitch_angular_velocity_shaping_scale,reward_roll_pitch_angular_velocity_shaping_sum,roll_pitch_angular_velocity_penalty_sum,foot_geom_names,foot_landing_height_threshold,foot_landing_active_count_sum,foot_landing_active_count_by_foot,foot_lateral_velocity_shaping_weight,foot_lateral_velocity_shaping_scale,reward_foot_lateral_velocity_shaping_sum,foot_lateral_velocity_penalty_sum,foot_lateral_velocity_penalty_sum_by_foot,foot_vertical_velocity_shaping_weight,foot_vertical_velocity_shaping_scale,reward_foot_vertical_velocity_shaping_sum,foot_vertical_velocity_penalty_sum,foot_vertical_velocity_penalty_sum_by_foot,pitch_balance_shaping_weight,reward_pitch_balance_shaping_sum,pitch_balance_event_completed_count,pitch_balance_event_score_sum,pitch_balance_event_score_mean,pitch_balance_positive_time_seconds,pitch_balance_negative_time_seconds,pitch_balance_neutral_time_seconds,training_seed,seed,condition_objective_return,common_rescored_return,proxy_return,base_proxy_return,reward_shaping_sum,reward_forward_shaping_sum,reward_lateral_shaping_sum,reward_effort_shaping_sum,reward_orientation_shaping_sum,orientation_penalty_sum,reward_forward_sum,reward_ctrl_sum,reward_contact_sum,reward_survive_sum,base_reward_reconciliation_error,ctrl_cost_reconciliation_error,net_forward_progress,net_forward_progress_per_step,environment_dt,episode_duration_seconds,mean_forward_velocity,evaluation_horizon_steps,fixed_horizon_duration_seconds,fixed_horizon_mean_forward_velocity,net_displacement_direction_error_rad,net_displacement_direction_error_degrees,cumulative_squared_action,mean_squared_action_per_step,action_saturation_rate,cumulative_squared_action_change,mean_squared_action_change_per_transition,normalised_action_roughness,action_change_transition_count,effort_distance_min,effort_per_distance_defined,cumulative_squared_action_per_unit_distance,control_effort,control_effort_per_unit_distance,unhealthy_termination,termination_category,low_z_termination,high_z_termination,non_finite_termination,other_unhealthy_termination,time_limit_truncation,fall,lateral_drift_final_abs,lateral_drift_mean_abs,lateral_drift_max_abs,cumulative_lateral_path,cumulative_planar_path,forward_path_efficiency,torso_tilt_mean,torso_tilt_std,torso_tilt_rms,torso_tilt_p95,torso_tilt_max,inversion_tilt_threshold_rad,inverted_step_fraction,longest_inverted_run_steps,longest_inverted_run_seconds,sustained_inversion_seconds,sustained_inversion,full_horizon_completed,intent_compliant,intent_failure_reasons,action_observation_augmented,action_constraint_enabled,action_slew_l2_limit,action_slew_intervention_count,action_slew_intervention_rate,cumulative_action_correction_l2,mean_action_correction_l2,max_action_correction_l2,cumulative_proposed_squared_action_change,proposed_action_change_transition_count,proposed_normalised_action_roughness,episode_length,terminated,truncated
1,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,105.89126166755355,-16.718493430236546,0.2,-1.6879718680455003,8.439859340227521,0.05,1.014092584749083,-12.318614606871945,246.37229213743854,0.05,1.9893176307304792,-16.590328098064393,331.80656196128797,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,1808,"[538, 293, 570, 407]",0.025,1.0,-14.004610092340172,560.1844036936066,"[167.2776646926219, 98.9392218791882, 167.21453381253588, 126.75298330926043]",0.025,1.0,-5.406885942697003,216.2754377078802,"[58.31145912884791, 47.99580993287936, 54.74209525435054, 55.2260733918021]",0.0,0.0,56,26.75488925908598,0.4777658796265354,29.1,14.8,0.0,62401,72401,924.2238816031546,996.2701398958725,924.2238816031546,996.2701398958746,-72.04625829271808,0.0,-4.44376368988846,0.0,-0.8755905645739911,8.755905645739917,122.60975509779018,-124.61712336689742,-1.7224918350202598,1000.0,2.1600499167107046e-12,0.0,6.130489075984546,0.006130489075984545,0.05,50.0,0.12260978151969092,1000,50.0,0.12260978151969092,0.8997077563680842,51.54945723507574,249.23424673379483,0.24923424673379482,0.0,270.0754988872807,0.2703458447320127,0.008448307647875396,999,1e-08,True,40.65487168228389,249.23424673379483,40.65487168228389,False,none,False,False,False,False,True,False,7.720751244302136,2.748284121230214,7.720751244302136,17.594432372664606,30.79441969627701,0.19907792179391873,0.16626292316557942,0.08707679878871942,0.18768518456941266,0.3129151817928455,0.47631750437483117,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,270.0754988872806,999,0.008448307647875394,1000,False,True
2,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,121.5830443110758,-84.66744066847967,0.2,-1.7134321131204644,8.567160565602329,0.05,1.014092584749083,-11.286436214256907,225.7287242851383,0.05,1.9893176307304792,-16.256586469925043,325.13172939850125,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,1830,"[532, 391, 537, 370]",0.025,1.0,-13.377417843946859,535.0967137578734,"[154.90870162321036, 127.43519899452271, 145.5072815595669, 107.24553158057392]",0.025,1.0,-4.831070528639586,193.2428211455838,"[53.97465140848267, 46.48671035366573, 49.073927966464346, 43.70753141697108]",0.0,0.0,63,32.40142979979095,0.5143084095204912,25.25,18.25,0.0,62401,72402,948.9627984984033,1085.5754120684812,948.9627984984033,1085.575412068481,-136.6126135700786,0.0,-3.7408140041318845,0.0,-0.7394157275781235,7.3941572757812315,206.25048497955552,-118.87525740085867,-1.7998155102156372,1000.0,-2.2737367544323206e-13,0.0,10.312520983588733,0.010312520983588733,0.05,50.0,0.20625041967177465,1000,50.0,0.20625041967177465,0.040780531191540584,2.3365523235768855,237.75051480171734,0.23775051480171736,0.0,274.1491380992745,0.27442356166093546,0.008575736301904233,999,1e-08,True,23.054548463956746,237.75051480171734,23.054548463956746,False,none,False,False,False,False,True,False,0.42078337100404695,1.458589783029507,3.289348894764821,15.944618172792275,30.838380789636094,0.33440539741485,0.1535082923659255,0.07840822558460503,0.17237356428532993,0.29939794081920895,0.41215265802384765,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,274.1491380992745,999,0.008575736301904233,1000,False,True
3,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,95.79271401764372,-11.071391131252787,0.2,-1.7135106376969118,8.567553188484554,0.05,1.014092584749083,-10.586217771100001,211.72435542200046,0.05,1.9893176307304792,-15.496418532713664,309.92837065427375,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,1820,"[605, 236, 684, 295]",0.025,1.0,-13.881597467420404,555.2638986968161,"[190.4464911907885, 90.1062877859492, 168.60223323210678, 106.10888648797186]",0.025,1.0,-4.512563814187772,180.50255256751086,"[46.35637477599142, 42.567525394663306, 49.97300280937998, 41.605649587476286]",0.0,0.0,61,30.74031486677872,0.5039395879799791,26.1,15.8,0.0,62401,72403,923.8031566978655,986.0593610390366,923.8031566978655,986.0593610390375,-62.25620434117121,0.0,-4.147878409288997,0.0,-0.846626577510688,8.466265775106887,106.86410514889644,-118.99434274101135,-1.8104013688485605,1000.0,9.094947017729282e-13,0.0,5.34321534752464,0.00534321534752464,0.05,50.0,0.1068643069504928,1000,50.0,0.1068643069504928,0.9972318337272796,57.13717526866498,237.9886854820227,0.2379886854820227,0.0,274.16170203150574,0.27443613816967544,0.008576129317802357,999,1e-08,True,44.540350707046855,237.9886854820227,44.540350707046855,False,none,False,False,False,False,True,False,8.27111568700281,3.6373386628212048,8.27111568700281,17.0233897331075,27.970053591607257,0.1910334325969234,0.1625915318640149,0.08747863582929925,0.18463076114353788,0.2997904901445877,0.6669039875384244,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,274.16170203150574,999,0.008576129317802357,1000,False,True
4,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,97.78245687893175,-30.29980409473487,0.2,-1.801278436979119,9.006392184895583,0.05,1.014092584749083,-9.807767225932812,196.15534451865665,0.05,1.9893176307304792,-14.798046902349334,295.960938046987,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,2041,"[654, 326, 625, 436]",0.025,1.0,-14.581505278311353,583.2602111324528,"[184.09330605142068, 94.31994174127269, 167.18335314739556, 137.66361019236462]",0.025,1.0,-4.7952472020588806,191.80988808235546,"[60.2647776813096, 33.31250529258393, 48.81203760438483, 49.42056750407692]",0.0,0.0,53,22.494995404399685,0.424433875554711,31.1,12.950000000000001,0.0,62401,72404,921.8301874032894,1002.7415665257421,921.8301874032894,1002.7415665257429,-80.91137912245192,0.0,-3.992968756401219,0.0,-0.834761225684405,8.347612256844062,128.08226097366668,-123.3752489689588,-1.9654454789658098,1000.0,7.958078640513122e-13,0.0,6.404096005855218,0.006404096005855218,0.05,50.0,0.12808192011710434,1000,50.0,0.12808192011710434,0.8484571194044151,48.61301203970033,246.7504979379176,0.2467504979379176,0.0,288.20454991665866,0.2884930429596183,0.009015407592488072,999,1e-08,True,38.53010599970948,246.7504979379176,38.53010599970948,False,none,False,False,False,False,True,False,7.267347483063849,3.6810204746283426,7.267347483063849,16.72478478910961,27.61281832996193,0.23192475064764775,0.16318479069083047,0.0832797506627236,0.18320696707073006,0.3160497982735286,0.4311769471737996,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,288.20454991665866,999,0.009015407592488072,1000,False,True
5,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,112.19107229785615,-71.1500977896104,0.2,-1.7429714902053626,8.714857451026809,0.05,1.014092584749083,-10.437720553904201,208.75441107808422,0.05,1.9893176307304792,-14.457068920102083,289.1413784020415,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,1840,"[537, 274, 641, 388]",0.025,1.0,-13.715319485132309,548.6127794052927,"[148.96346222010962, 101.02389911821464, 152.66378998293362, 145.9616280840349]",0.025,1.0,-4.537832750476525,181.5133100190613,"[53.463435156397615, 34.81639775352045, 46.3355156545001, 46.897961454642925]",0.0,0.0,59,24.567917563575755,0.41640538243348735,31.35,12.4,0.0,62401,72405,934.2639536815136,1055.4692159149479,934.2639536815136,1055.4692159149495,-121.20526223343673,0.0,-4.460122678194151,0.0,-0.7041285658117461,7.041285658117465,183.34117008746645,-125.93034162406555,-1.941612548453062,1000.0,1.5916157281026244e-12,0.0,9.167057416497443,0.009167057416497442,0.05,50.0,0.18334114832994886,1000,50.0,0.18334114832994886,0.6977485081195901,39.97804467680216,251.8606832481311,0.2518606832481311,0.0,278.8754384328579,0.2791545930258838,0.008723581032058869,999,1e-08,True,27.474539735604957,251.8606832481311,27.474539735604957,False,none,False,False,False,False,True,False,7.68609038641336,3.162934058863979,7.68609038641336,17.624654342910198,30.29981748403697,0.3025449714780288,0.15064012641252192,0.07479892547099223,0.16818836742532353,0.2760413089506231,0.49202213722025095,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,278.8754384328579,999,0.008723581032058869,1000,False,True
6,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,122.71147552305075,-73.91597439597471,0.2,-1.7374502139538082,8.687251069769033,0.05,1.014092584749083,-10.643001667056348,212.86003334112704,0.05,1.9893176307304792,-15.5372434880175,310.74486976034996,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,1875,"[539, 390, 568, 378]",0.025,1.0,-14.272722844222473,570.9089137688998,"[161.15326434136517, 135.918311511196, 143.12782018268368, 130.70951773365505]",0.025,1.0,-5.1838036246075525,207.3521449843021,"[55.39681474590493, 46.11454075783599, 55.34154553505175, 50.49924394550933]",0.0,0.0,65,31.763302524938013,0.48866619269135403,24.650000000000002,18.0,0.0,62401,72406,946.2539776700496,1072.0238367849586,946.2539776700496,1072.0238367849586,-125.76985911490874,0.0,-3.6255540757760807,0.0,-0.8541088053003703,8.541088053003707,196.62744991902548,-122.69499210254294,-1.9086210315238135,1000.0,0.0,0.0,9.831358493733573,0.009831358493733573,0.05,50.0,0.19662716987467146,1000,50.0,0.19662716987467146,0.5137065947809132,29.43321978898353,245.38998420508588,0.24538998420508587,0.0,277.99203423260906,0.2782703045371462,0.008695947016785818,999,1e-08,True,24.959926378586992,245.38998420508588,24.959926378586992,False,none,False,False,False,False,True,False,5.547198237132031,2.6815982197050325,5.56154895494177,15.589427398206148,29.13617010467457,0.33742796182248547,0.16486862077650055,0.08475792643469574,0.1853795247870024,0.3134619115768109,0.5299505534152302,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,277.99203423260906,999,0.008695947016785818,1000,False,True
7,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,86.88786681506632,1.994802424385852,0.2,-1.560033194396406,7.800165971982032,0.05,1.014092584749083,-9.042239724353935,180.84479448707836,0.05,1.9893176307304792,-16.55868204007672,331.1736408015346,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,1407,"[418, 259, 428, 302]",0.025,1.0,-10.818201114024433,432.72804456097737,"[139.22593902032912, 89.99246239920494, 111.66411575521889, 91.8455273862244]",0.025,1.0,-3.5768796054350753,143.075184217403,"[48.93602798405253, 25.655101268764472, 37.601011148397575, 30.883043816188476]",0.0,0.0,46,20.107300177151437,0.4371152212424225,28.8,16.3,0.0,62401,72407,902.5938862855334,970.9163243895509,902.5938862855334,970.9163243895504,-68.32243810401793,0.0,-3.8104106298317424,0.0,-24.95079422028551,249.50794220285522,84.89306439068054,-112.24129174679271,-1.7354482543368077,1000.0,-5.684341886080801e-13,0.0,4.244660863961136,0.004244660863961136,0.05,50.0,0.08489321727922272,1000,50.0,0.08489321727922272,0.8550790485071577,48.99242062952233,224.48258349358542,0.22448258349358544,0.0,249.60531110342504,0.24985516626969473,0.00780797394592796,999,1e-08,True,52.88587019979195,224.48258349358542,52.88587019979195,False,none,False,False,False,False,True,False,4.881619384915629,2.0487377641027353,5.03334690323933,16.014965252380104,27.31701888636689,0.15538521540794922,0.8286217836001077,1.1459640924505796,1.4141597368906755,2.9146751777287405,3.1178569379652,1.5707963267948966,0.249,249,12.450000000000001,1.0,True,True,False,forward_velocity;no_sustained_inversion;tilt_rms;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,249.60531110342507,999,0.007807973945927961,1000,False,True
8,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,118.05896409590518,-78.10220718700937,0.2,-1.7073667104991483,8.536833552495779,0.05,1.014092584749083,-10.148427827904854,202.96855655809702,0.05,1.9893176307304792,-13.573676341319857,271.47352682639695,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,1953,"[552, 420, 590, 391]",0.025,1.0,-14.473682925535003,578.9473170214,"[175.14089402413276, 121.82420952842448, 161.7750624611026, 120.20715100774002]",0.025,1.0,-4.540332305223245,181.6132922089298,"[53.42074682647378, 36.65301127915234, 40.40736957144704, 51.13216453185681]",0.0,0.0,63,33.919275931029254,0.5384012052544326,26.5,16.45,0.0,62401,72408,944.1846015786247,1071.1784683027913,944.1846015786247,1071.1784683027922,-126.99386672416622,0.0,-3.7609592054067202,0.0,-0.6872142212681819,6.87214221268182,196.1611712829141,-123.06277336804528,-1.9199296120773246,1000.0,9.094947017729282e-13,0.0,9.808060832609323,0.009808060832609324,0.05,50.0,0.19616121665218647,1000,50.0,0.19616121665218647,0.35371446769451004,20.266346151611927,246.12554673609057,0.24612554673609058,0.0,273.1786736798649,0.2734521258056706,0.008545378931427206,999,1e-08,True,25.094210867635052,246.12554673609057,25.094210867635052,False,none,False,False,False,False,True,False,3.6215640281400807,1.09217395831803,3.6904544608629206,15.717946123249106,29.573895373873228,0.3316458893431455,0.14190607483074802,0.08668378956238655,0.16628714155570168,0.290667556039287,0.5228577962805101,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,273.1786736798649,999,0.008545378931427206,1000,False,True
9,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,113.23879106253976,-23.66367047765042,0.2,-1.7001945335118047,8.500972667559031,0.05,1.014092584749083,-10.256801279088723,205.13602558177436,0.05,1.9893176307304792,-15.698123441532259,313.9624688306455,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,1924,"[563, 368, 618, 375]",0.025,1.0,-13.540808394066941,541.6323357626783,"[153.9093256242947, 116.18183529282923, 157.0754315502682, 114.46574329528583]",0.025,1.0,-4.869495265767445,194.77981063069797,"[52.47455217742572, 36.624982123806205, 56.820793714571465, 48.85948261489467]",0.0,0.0,59,31.699200488189998,0.5372745845455932,27.05,16.95,0.0,62401,72409,941.5603167370041,1016.3923296773453,941.5603167370041,1016.3923296773465,-74.83201294034161,0.0,-4.266114340256975,0.0,-0.8368052084671938,8.368052084671923,136.90246154019022,-118.68030944467002,-1.8298224181748255,1000.0,1.2505552149377763e-12,0.0,6.845129291966091,0.006845129291966091,0.05,50.0,0.13690258583932183,1000,50.0,0.13690258583932183,0.6798436718514453,38.9521731257647,237.36061888934003,0.23736061888934004,0.0,272.031125361889,0.2723034287906797,0.00850948214970874,999,1e-08,True,34.67584157510693,237.36061888934003,34.67584157510693,False,none,False,False,False,False,True,False,5.533622038539366,2.0641992606069848,5.533622038539366,17.378491054465385,30.526183423472975,0.22423796637160212,0.16339279910208482,0.08346745615566077,0.1834775818336164,0.30142393019605546,0.5413539144002356,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,272.031125361889,999,0.00850948214970874,1000,False,True
10,0.25,250000,251904,S1_STAGE1_SHAPED,,,0.5,0.5,0.0,0.025,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.1,1.0,cosine,True,1.0,0.5,0.5,90.08565656814318,14.833577337975957,0.2,-1.6561266745244743,8.280633372622361,0.05,1.014092584749083,-12.165086057263313,243.3017211452665,0.05,1.9893176307304792,-15.642650643485068,312.8530128697022,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,1848,"[553, 267, 611, 417]",0.025,1.0,-13.864213895004944,554.568555800197,"[170.78038610168267, 78.76243457870436, 157.70942559685312, 147.31630952295845]",0.025,1.0,-4.839833048711004,193.59332194844035,"[57.77883031426927, 34.84324752193314, 50.18662188702957, 50.784622225208096]",0.0,0.0,57,28.668342635545205,0.5029533795709685,29.85,13.850000000000001,0.0,62401,72410,915.5238813539396,954.3200939732319,915.5238813539396,954.3200939732312,-38.796212619292646,0.0,-4.576730596753885,0.0,-0.8851490415258777,8.851490415258768,75.25207923016737,-119.04420609242652,-1.8877791645088247,1000.0,-6.821210263296962e-13,0.0,3.7625645069342264,0.0037625645069342263,0.05,50.0,0.07525129013868453,1000,50.0,0.07525129013868453,1.1484901516188768,65.80363850010166,238.08841218485304,0.23808841218485305,0.0,264.98026792391556,0.2652455134373529,0.008288922294917279,999,1e-08,True,63.27822732236683,238.08841218485304,63.27822732236683,False,none,False,False,False,False,True,False,8.37350784702399,3.106865931454161,8.44596639871544,18.349028843880653,28.983618925974966,0.12981693267993652,0.16597615712449454,0.08986008793638446,0.1887403511116519,0.3204003722776525,0.4988074145215245,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,264.98026792391556,999,0.008288922294917279,1000,False,True
