#{"t_start": 1787237937.5501997, "env_id": "Ant-v5"}
r,l,t
-26.091633,36,0.042526
-6.754674,24,0.065528
-24.184298,28,0.09553
-81.938313,42,0.137059
-56.086694,47,0.182058
-81.22917,77,0.253583
-8.258157,31,0.280388
-12.878177,8,0.287388
-63.670536,69,0.345918
-14.218266,28,0.371919
-86.795319,84,0.443442
-83.858467,52,0.486574
-89.298097,117,0.589097
-64.34457,29,0.614108
-14.235428,11,0.624105
-10.137972,20,0.640625
-34.124458,21,0.657622
-56.962235,51,0.700626
-23.432824,25,0.722634
-72.461052,92,0.801152
-35.575581,24,0.82116
-54.423066,48,0.86268
-48.187216,34,0.890677
-63.222868,42,0.925206
-44.626358,36,0.960732
-54.537645,58,1.012326
-9.702307,12,1.023324
-17.13528,13,1.034843
-26.64853,34,1.065844
-19.184815,30,1.092366
-13.044696,25,1.117376
-14.988814,13,1.129885
-174.04391,119,1.23141
-117.03704,159,1.364938
-52.627955,40,1.396939
-57.576688,51,1.443486
-1056.950543,1000,2.839444
-154.241329,108,2.932976
-19.861073,44,2.975048
-41.187549,57,3.024573
-31.621304,27,3.050647
-22.09254,36,3.080654
-64.786031,58,3.130339
-25.334465,31,3.157338
-75.787621,62,3.210339
-11.062731,15,3.222347
11.90032,35,3.252868
-85.823021,46,3.292868
-8.090274,13,3.303869
-14.045865,16,3.316891
-16.444621,19,3.333407
-24.761712,26,3.355406
-1064.510642,1000,4.729263
-22.668286,36,4.76126
-106.661783,72,4.829792
-49.162854,38,4.863793
-253.391865,156,5.005424
-32.004497,34,5.03794
-13.387626,16,5.052941
-40.146431,21,5.072946
-15.113375,10,5.081949
-23.582147,13,5.096266
-969.114421,1000,5.957873
-79.816956,49,6.000522
-10.975279,39,6.039048
-43.199439,19,6.057053
-60.376453,45,6.095061
-14.749274,16,6.108061
-22.52257,10,6.116069
-33.354294,37,6.147582
-24.200919,17,6.162582
-65.814314,71,6.222591
-40.858672,30,6.248109
-923.226401,1000,7.605471
-14.354742,16,7.61848
-40.973932,24,7.639996
-59.121389,42,7.673997
-89.618636,60,7.722005
-27.104614,19,7.737522
-170.40456,184,7.89605
-38.956406,24,7.918058
-952.57434,1000,9.233438
-14.583613,14,9.24544
-64.272802,54,9.290437
-26.254183,40,9.326445
-60.700458,37,9.358969
-34.278711,31,9.38697
-33.341164,15,9.399973
-59.914516,38,9.435496
-48.043819,37,9.470023
-44.862712,51,9.517622
-19.74495,13,9.53114
-13.914975,25,9.55514
-80.1235,79,9.627149
-4.330601,12,9.638665
-1.033658,13,9.650665
-25.900563,34,9.681667
-1044.409553,1000,10.578395
-18.689633,30,10.602396
-12.302735,58,10.64792
-25.227086,55,10.690921
-37.74202,63,10.738442
-44.932717,78,10.798443
-17.476269,13,10.809444
-12.620887,14,10.821449
-43.763123,16,10.833965
-934.148394,1000,12.113358
-37.00273,31,12.135884
-455.134375,446,12.45755
-42.926774,45,12.498805
-49.445071,43,12.528813
-61.07007,40,12.557329
-30.377663,26,12.576329
-110.470991,94,12.645856
-47.7145,39,12.677857
-12.753641,23,12.696857
-11.367522,18,12.710857
-10.79086,13,12.720865
-34.936001,31,12.745901
-4.253465,59,12.798902
0.491006,15,12.812902
-23.102577,23,12.83443
-19.438571,18,12.852427
8.775418,33,12.881431
-59.676724,71,12.943953
-21.931283,47,12.989057
-61.079909,156,13.629808
-39.559279,34,13.656327
-21.067536,42,13.688328
-110.739097,91,13.758851
-29.394818,32,13.783374
-1074.752154,1000,14.519088
-19.620896,18,14.534603
-13.890241,15,14.546604
-46.858847,24,14.566605
-9.040043,14,14.579605
-16.976669,38,14.614605
-23.089502,33,14.644128
-976.937182,1000,15.948496
-69.55668,64,15.999573
-14.89965,24,16.018574
-51.337968,52,16.059101
-14.447218,12,16.0681
-8.595173,11,16.0761
-111.74156,66,16.123108
-13.977105,42,16.153626
-167.82373,129,16.25015
-16.426018,16,16.262151
-23.843761,18,16.27515
-39.212779,61,16.31815
-12.20728,27,16.337672
-47.516304,91,16.405674
-1022.350645,1000,17.138456
-100.914217,86,17.773777
-46.283864,22,17.792778
-73.935129,59,17.847152
-11.331283,13,17.857151
-51.260533,62,17.907866
-64.762072,53,17.9514
-64.447245,61,18.00251
-86.582986,111,18.098035
-28.077827,21,18.114036
-27.757958,19,18.129042
-9.277958,16,18.14356
-20.049558,20,18.15956
-100.845848,123,18.246085
-75.421998,56,18.285085
-978.695203,1000,19.017336
-1.556761,15,19.029343
-5.134244,42,19.060578
-16.136913,21,19.078585
-10.458144,11,19.088585
-976.98997,1000,20.298189
-32.232643,36,20.323194
-12.848622,24,20.340709
-41.108118,44,20.371818
-10.57788,14,20.381819
-42.096302,38,20.407819
-32.83348,21,20.422826
-29.635006,28,20.44234
-86.034953,66,20.490465
-39.195728,23,20.506465
-139.164909,79,20.56299
-89.80465,100,20.635999
-38.140768,41,20.666514
-7.58309,29,20.687515
-71.150207,73,20.741039
-78.996928,57,20.784039
-36.852961,28,20.805039
-38.06715,16,20.817039
-85.336979,72,20.869562
-141.521688,110,20.953094
-34.388832,33,20.984565
-130.766315,143,21.122209
-958.851344,1000,22.354983
-28.573008,18,22.366983
-27.992413,33,22.389984
-32.276176,24,22.407984
