#{"t_start": 1787236830.6350453, "env_id": "Ant-v5"}
r,l,t
-36.929484,36,1.466797
-22.478963,24,1.483805
-26.283993,28,1.505827
-50.889106,42,1.536342
-52.836177,47,1.572343
-85.074832,77,1.627866
-31.420413,31,1.650867
-12.868249,8,1.656866
-75.29312,69,1.713389
-29.422972,28,1.732397
-93.572952,84,1.792693
-61.552647,52,1.832215
-123.823054,117,1.915991
-35.451215,29,1.935992
-15.91199,11,1.943991
-18.008368,20,1.959022
-25.641663,21,1.975022
-53.763827,51,2.012536
-30.942067,25,2.030544
-99.804365,92,2.096546
-29.893543,24,2.11407
-54.267963,48,2.149071
-39.08344,34,2.173071
-45.996883,42,2.203078
-42.403346,36,2.230602
-66.188887,58,2.272817
-14.299039,12,2.282817
-14.096034,13,2.293818
-36.102102,34,2.318339
-36.622215,30,2.340338
-21.603077,25,2.357346
-14.804931,13,2.367542
-141.990162,119,2.457195
-174.702475,159,2.569718
-40.16216,40,2.598718
-55.000158,51,2.636241
-1165.230366,1000,3.873841
-29.592669,23,3.891842
-21.357623,15,3.902849
-79.685396,67,3.951364
-57.367428,54,3.990366
-43.161176,32,4.014372
-43.151143,37,4.040885
-25.288443,25,4.058886
-21.184636,20,4.074886
-26.763594,23,4.090887
-34.628299,31,4.114411
-9.054541,7,4.120418
-95.81874,85,4.182419
-39.446358,37,4.209426
-88.355659,77,4.26404
-89.880713,77,4.318562
-76.034743,67,4.366081
-26.163258,24,4.382815
-1194.951372,1000,5.58703
-99.187376,89,5.655558
-89.45001,85,5.726089
-35.973668,29,5.749397
-1165.2039,1000,6.498133
-57.936519,59,6.540666
-71.206401,61,6.58667
-25.176418,25,6.60568
-19.302062,23,6.622191
-44.734826,33,6.645191
-38.80422,35,6.670192
-46.555956,49,6.706199
-160.379563,140,6.807727
-34.434069,32,6.832238
-119.469585,110,6.913357
-12.256678,10,6.919871
-21.564627,17,6.932871
-32.982897,26,7.404037
-54.038241,47,7.440556
-19.660355,17,7.454556
-27.753513,25,7.473557
-36.728618,33,7.500553
-23.185677,21,7.518062
-32.672304,30,7.542067
-43.1622,42,7.574492
-71.956963,72,7.630023
-35.663759,35,7.657024
-26.495466,22,7.674024
-18.11206,16,7.686024
-60.542912,60,7.731531
-60.978273,57,7.77381
-22.888174,23,7.791801
-65.035874,61,7.840326
-25.130288,23,7.857848
-136.118219,130,7.949022
-56.717621,58,7.990023
-50.514555,46,8.022546
-47.071729,41,8.051546
-58.732792,60,8.095548
-25.715854,25,8.114555
-14.864343,11,8.123073
-72.204819,70,8.173074
-59.463429,61,8.216084
-28.121296,28,8.236125
-34.663371,31,8.258729
-24.97283,22,8.275728
-109.813087,104,8.35026
-11.448691,10,8.357261
-1141.224651,1000,9.581285
-25.426607,23,9.599285
-17.333243,16,9.611288
-54.432662,53,9.652795
-20.202509,21,9.6698
-109.864725,104,9.749851
-46.329902,49,9.789847
-8.334081,10,9.796847
-55.557752,55,9.83737
-73.731759,77,9.892507
-24.245877,23,9.909536
-33.000745,29,9.932034
-51.159934,48,9.969035
-108.325868,95,10.042561
-18.243634,12,10.051561
-16.980687,16,10.063561
-1146.117771,1000,10.805077
-15.242111,12,10.814078
-39.142045,33,10.837593
-16.781303,13,10.846601
-25.644747,24,10.864699
-849.554172,762,11.917879
-29.587589,36,11.943396
-33.385177,32,11.967395
-83.942118,79,12.026918
-127.385005,129,12.126456
-1096.750112,1000,12.869751
-18.974826,16,12.883364
-18.579459,13,12.893361
-51.845983,48,12.928882
-40.469534,42,13.420785
-23.983869,21,13.438793
-20.68227,18,13.453793
-154.577967,130,13.558308
-1102.442659,1000,14.318113
-16.273746,12,14.327627
-56.552302,51,14.364149
-26.616027,25,14.381791
-34.335274,29,14.40379
-18.803738,16,14.414797
-13.423745,13,14.425311
-98.605403,88,14.488313
-49.078511,52,14.526835
-46.672151,44,14.558838
-21.938592,19,14.573837
-16.890858,18,14.587837
-14.346049,14,14.598837
-25.215012,27,14.620846
-10.341144,6,14.626357
-15.469876,16,14.639362
-18.811006,16,14.650362
-32.674297,27,14.67136
-33.799952,30,14.692361
-128.43976,135,14.788888
-1088.220804,1000,16.024169
-20.248902,20,16.039168
-44.857267,38,16.067169
-61.392241,67,16.121177
-38.372882,47,16.156699
-16.033939,16,16.168694
-194.481432,207,16.320226
-33.399582,32,16.344204
-113.303295,120,16.43884
-12.5181,13,16.448839
-43.773661,48,16.485841
-31.983456,27,16.505841
-45.906612,38,16.535362
-19.251128,14,16.546362
-40.801223,36,16.573362
-16.366769,18,16.586364
-145.290054,144,16.68889
-163.432817,152,16.800891
-25.693934,37,16.829412
-1074.456215,1000,18.051609
-22.086682,25,18.069609
-57.990154,51,18.107612
-37.053482,49,18.14327
-14.118497,11,18.151269
-34.885416,35,18.17627
-88.100458,98,18.249793
-19.293803,24,18.268793
-51.225989,42,18.300796
-30.178423,31,18.322802
-45.590578,43,18.353324
-19.534239,18,18.366843
