episode,checkpoint_fraction,target_timesteps,actual_model_timesteps,condition_id,reward_id,constraint_id,ctrl_cost_weight,common_rescore_ctrl_cost_weight,forward_progress_shaping_weight,lateral_drift_shaping_weight,lateral_drift_shaping_scale,lateral_shaping_signal,lateral_velocity_target,effort_shaping_weight,effort_shaping_scale,orientation_shaping_weight,orientation_shaping_scale,orientation_shaping_function,replace_forward_reward_with_tracking,forward_velocity_target,forward_velocity_tracking_scale,forward_velocity_tracking_weight,reward_forward_tracking_sum,reward_forward_replacement_sum,action_rate_shaping_weight,reward_action_rate_shaping_sum,action_rate_penalty_sum,vertical_velocity_shaping_weight,vertical_velocity_shaping_scale,reward_vertical_velocity_shaping_sum,vertical_velocity_penalty_sum,roll_pitch_angular_velocity_shaping_weight,roll_pitch_angular_velocity_shaping_scale,reward_roll_pitch_angular_velocity_shaping_sum,roll_pitch_angular_velocity_penalty_sum,foot_geom_names,foot_landing_height_threshold,foot_landing_active_count_sum,foot_landing_active_count_by_foot,foot_lateral_velocity_shaping_weight,foot_lateral_velocity_shaping_scale,reward_foot_lateral_velocity_shaping_sum,foot_lateral_velocity_penalty_sum,foot_lateral_velocity_penalty_sum_by_foot,foot_vertical_velocity_shaping_weight,foot_vertical_velocity_shaping_scale,reward_foot_vertical_velocity_shaping_sum,foot_vertical_velocity_penalty_sum,foot_vertical_velocity_penalty_sum_by_foot,pitch_balance_shaping_weight,reward_pitch_balance_shaping_sum,pitch_balance_event_completed_count,pitch_balance_event_score_sum,pitch_balance_event_score_mean,pitch_balance_positive_time_seconds,pitch_balance_negative_time_seconds,pitch_balance_neutral_time_seconds,training_seed,seed,condition_objective_return,common_rescored_return,proxy_return,base_proxy_return,reward_shaping_sum,reward_forward_shaping_sum,reward_lateral_shaping_sum,reward_effort_shaping_sum,reward_orientation_shaping_sum,orientation_penalty_sum,reward_forward_sum,reward_ctrl_sum,reward_contact_sum,reward_survive_sum,base_reward_reconciliation_error,ctrl_cost_reconciliation_error,net_forward_progress,net_forward_progress_per_step,environment_dt,episode_duration_seconds,mean_forward_velocity,evaluation_horizon_steps,fixed_horizon_duration_seconds,fixed_horizon_mean_forward_velocity,net_displacement_direction_error_rad,net_displacement_direction_error_degrees,cumulative_squared_action,mean_squared_action_per_step,action_saturation_rate,cumulative_squared_action_change,mean_squared_action_change_per_transition,normalised_action_roughness,action_change_transition_count,effort_distance_min,effort_per_distance_defined,cumulative_squared_action_per_unit_distance,control_effort,control_effort_per_unit_distance,unhealthy_termination,termination_category,low_z_termination,high_z_termination,non_finite_termination,other_unhealthy_termination,time_limit_truncation,fall,lateral_drift_final_abs,lateral_drift_mean_abs,lateral_drift_max_abs,cumulative_lateral_path,cumulative_planar_path,forward_path_efficiency,torso_tilt_mean,torso_tilt_std,torso_tilt_rms,torso_tilt_p95,torso_tilt_max,inversion_tilt_threshold_rad,inverted_step_fraction,longest_inverted_run_steps,longest_inverted_run_seconds,sustained_inversion_seconds,sustained_inversion,full_horizon_completed,intent_compliant,intent_failure_reasons,action_observation_augmented,action_constraint_enabled,action_slew_l2_limit,action_slew_intervention_count,action_slew_intervention_rate,cumulative_action_correction_l2,mean_action_correction_l2,max_action_correction_l2,cumulative_proposed_squared_action_change,proposed_action_change_transition_count,proposed_normalised_action_roughness,episode_length,terminated,truncated
1,0.25,250000,251904,D0_DEFAULT_REWARD,,,0.5,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,0.0,0.0,3.5835677990100154,0.0,1.014092584749083,0.0,57.75506229951219,0.0,1.9893176307304792,0.0,71.06325846309514,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,215,"[63, 43, 55, 54]",0.0,1.0,0.0,85.12999381260501,"[20.80461855139691, 23.564766191598206, 18.800131665339173, 21.960477404270765]",0.0,1.0,0.0,45.75376417933955,"[12.100998285758067, 10.437213313401216, 12.903041593353482, 10.312510986826775]",0.0,0.0,14,6.650038850038849,0.47500277500277494,3.6,3.6500000000000004,0.0,62403,72401,209.91355556192352,209.91355556192352,209.91355556192352,209.91355556192352,0.0,0.0,0.0,0.0,0.0,1.6492285359870187,95.75087379067051,-51.61841606263092,-0.218902166116087,166.0,0.0,0.0,4.787543462625358,0.028667924925900347,0.05,8.35,0.5733584985180069,1000,50.0,0.09575086925250716,0.663650958361808,38.024398983943925,103.23683212526184,0.6181846235045619,0.0007485029940119761,114.6741695683205,0.6908082504115692,0.02158775782536154,166,1e-08,True,21.563633402222855,103.23683212526184,21.563633402222855,True,high_z_excursion,False,True,False,False,False,True,3.7437231881198922,1.2407713597452443,3.7437231881198922,4.487233464809876,8.12701308673169,0.5890901628350506,0.16924134671809762,0.1058928062177741,0.19963947467279705,0.4237906063030794,0.5154059757530299,1.5707963267948966,0.0,0,0.0,1.0,False,False,False,full_horizon;forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,114.6741695683205,166,0.02158775782536154,167,True,False
2,0.25,250000,251904,D0_DEFAULT_REWARD,,,0.5,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,0.0,0.0,2.354144109270527,0.0,1.014092584749083,0.0,41.70135319933037,0.0,1.9893176307304792,0.0,61.94405175630623,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,114,"[34, 25, 29, 26]",0.0,1.0,0.0,49.88790078628149,"[16.603195735340567, 13.24647382040409, 14.494463804301912, 5.543767426234928]",0.0,1.0,0.0,24.13361885635327,"[9.45440431729578, 5.514192061029602, 6.51337553164852, 2.65164694637936]",0.0,0.0,9,2.7222222222222223,0.30246913580246915,2.45,2.4000000000000004,0.0,62403,72402,103.67710673058427,103.67710673058426,103.67710673058427,103.67710673058427,0.0,0.0,0.0,0.0,0.0,2.418183146472485,26.141395572014144,-36.33547707437978,-0.12881176705010697,114.0,1.4210854715202004e-14,0.0,1.3073984847278062,0.011368682475893966,0.05,5.75,0.22737364951787933,1000,50.0,0.026147969694556124,1.1656557964838181,66.7871575034832,72.67095414875956,0.6319213404239962,0.002173913043478261,75.33261149665687,0.6608123815496216,0.020650386923425676,114,1e-08,True,55.58439526866156,72.67095414875956,55.58439526866156,True,high_z_excursion,False,True,False,False,False,True,3.0485018979431984,1.0406908539666433,3.0485018979431984,4.000282686094168,5.550431757382042,0.23554897022001464,0.24996507656041717,0.15219063422721255,0.2926508647626663,0.5417375415031149,0.7587943711730407,1.5707963267948966,0.0,0,0.0,1.0,False,False,False,full_horizon;forward_velocity;tilt_rms;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,75.33261149665687,114,0.020650386923425676,115,True,False
3,0.25,250000,251904,D0_DEFAULT_REWARD,,,0.5,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,0.0,0.0,21.156378639406725,0.0,1.014092584749083,0.0,360.67665839971244,0.0,1.9893176307304792,0.0,423.44483186483365,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,1177,"[302, 275, 314, 286]",0.0,1.0,0.0,463.2537676198785,"[99.56522118788249, 130.22029230439978, 139.8653586597643, 93.602895467832]",0.0,1.0,0.0,274.58458177383346,"[69.404422726103, 72.19392255030631, 66.11871763857151, 66.86751885885248]",0.0,0.0,78,35.0227170975926,0.44900919355887947,19.200000000000003,23.8,0.0,62403,72403,820.743810006415,820.7438100064146,820.743810006415,820.743810006415,0.0,0.0,0.0,0.0,0.0,10.185947847719302,150.98144653252433,-328.9760133605134,-1.2616231655963381,1000.0,3.410605131648481e-13,0.0,7.549066331840756,0.0075490663318407555,0.05,50.0,0.1509813266368151,1000,50.0,0.1509813266368151,0.8676833497416253,49.71459389396886,657.9520267210268,0.6579520267210267,0.002875,677.0041164610152,0.6776817982592744,0.021177556195602326,999,1e-08,True,87.15674201270298,657.9520267210268,87.15674201270298,False,none,False,False,False,False,True,False,8.906151232523841,10.48646481086245,16.201726351086975,31.187474499646513,42.82604234610671,0.1762727984722837,0.16903004398781515,0.1123678023437254,0.20297211329165704,0.3781031010829684,0.8044627614872619,1.5707963267948966,0.0,0,0.0,1.0,False,True,False,forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,677.0041164610152,999,0.021177556195602326,1000,False,True
4,0.25,250000,251904,D0_DEFAULT_REWARD,,,0.5,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,0.0,0.0,11.161528245073422,0.0,1.014092584749083,0.0,194.16309358245292,0.0,1.9893176307304792,0.0,237.3175781017481,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,643,"[158, 162, 175, 148]",0.0,1.0,0.0,273.2881982099038,"[62.96657065264129, 74.05129206684168, 84.93014052403382, 51.340194966386996]",0.0,1.0,0.0,121.91761320266652,"[32.85968481902266, 26.50255499396726, 34.66603766930609, 27.88933572037037]",0.0,0.0,41,15.14858619641228,0.3694777121076166,11.3,12.700000000000001,0.0,62403,72404,420.4256897747379,420.42568977473775,420.4256897747379,420.4256897747379,0.0,0.0,0.0,0.0,0.0,7.263829378769779,33.9567157495942,-163.84169130565814,-0.6893346691982789,551.0,1.7053025658242404e-13,0.0,1.6978379515004325,0.0030757933903993342,0.05,27.6,0.06151586780798668,1000,50.0,0.03395675903000865,1.319586432620154,75.60673329185921,327.6833826113163,0.5936293163248484,0.001585144927536232,357.1689038423495,0.6482194262111606,0.020256857069098768,551,1e-08,True,193.00038753506024,327.6833826113163,193.00038753506024,True,high_z_excursion,False,True,False,False,False,True,6.615869859510573,4.230725359866688,8.437341936060658,16.748893909424325,24.00873980241312,0.07071749560673662,0.1906918829607704,0.13038651921878705,0.23100657700835117,0.44100013293292967,0.8369450371101819,1.5707963267948966,0.0,0,0.0,1.0,False,False,False,full_horizon;forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,357.1689038423495,551,0.020256857069098768,552,True,False
5,0.25,250000,251904,D0_DEFAULT_REWARD,,,0.5,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,0.0,0.0,3.6704900017069013,0.0,1.014092584749083,0.0,67.42785302474888,0.0,1.9893176307304792,0.0,82.68926678628861,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,168,"[45, 42, 48, 33]",0.0,1.0,0.0,79.51740925704988,"[14.891234239682584, 28.73386829129444, 22.57349947617452, 13.318807249898349]",0.0,1.0,0.0,48.62272420121704,"[11.457154431347163, 15.49717078243395, 13.429162390964862, 8.239236596471054]",0.0,0.0,16,7.086724386724387,0.4429202741702742,2.9000000000000004,4.05,0.0,62403,72405,244.2704557125257,244.27045571252557,244.2704557125257,244.2704557125257,0.0,0.0,0.0,0.0,0.0,1.588456780831067,112.51465496085058,-49.05210831015932,-0.19209093816568185,181.0,1.1368683772161603e-13,0.0,5.625728873973339,0.030910598208644717,0.05,9.1,0.6182119641728944,1000,50.0,0.11251457747946678,0.5164799531956163,29.592121521223113,98.10421662031864,0.539034157254498,0.0013736263736263737,117.45568005462084,0.6489264091415516,0.02027895028567349,181,1e-08,True,17.438489983792913,98.10421662031864,17.438489983792913,True,high_z_excursion,False,True,False,False,False,True,3.1948356694613733,1.382076563276435,3.1948356694613733,4.816317386985364,8.311311249925264,0.6768762118039949,0.16100813170727998,0.09597909590443597,0.18744493945290103,0.35337471574395773,0.40799265334424467,1.5707963267948966,0.0,0,0.0,1.0,False,False,False,full_horizon;forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,117.45568005462084,181,0.02027895028567349,182,True,False
6,0.25,250000,251904,D0_DEFAULT_REWARD,,,0.5,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.7229445243952253,0.0,1.014092584749083,0.0,30.86493633967623,0.0,1.9893176307304792,0.0,48.37252798058961,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,64,"[12, 17, 18, 17]",0.0,1.0,0.0,29.307173439224908,"[4.37709882627293, 8.221205199833696, 8.514413181714316, 8.194456231403977]",0.0,1.0,0.0,24.113457589813525,"[4.8431995659785105, 4.750017414263191, 8.76214094918815, 5.75809966038367]",0.0,0.0,6,3.4926406926406925,0.5821067821067821,1.0,2.1,0.0,62403,72406,111.01050310057228,111.01050310057231,111.01050310057228,111.01050310057228,0.0,0.0,0.0,0.0,0.0,2.670197118108468,58.48839708018658,-27.401198601670462,-0.07669537794383142,80.0,-2.842170943040401e-14,0.0,2.924419383914078,0.03610394301128492,0.05,4.05,0.7220788602256983,1000,50.0,0.058488387678281566,0.611225013361718,35.02061359845379,54.802397203340924,0.6765728049795176,0.0,55.13422478064721,0.6891778097580901,0.021536806554940315,80,1e-08,True,18.739582121765565,54.802397203340924,18.739582121765565,True,high_z_excursion,False,True,False,False,False,True,2.0492688772784913,0.648301653127788,2.0492688772784913,2.971733951716725,5.058503075377285,0.5781195227791697,0.2895594454689612,0.23655615955827441,0.37390304770789456,0.8485901554724127,1.2540752891498903,1.5707963267948966,0.0,0,0.0,1.0,False,False,False,full_horizon;forward_velocity;tilt_rms;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,55.13422478064721,80,0.021536806554940315,81,True,False
7,0.25,250000,251904,D0_DEFAULT_REWARD,,,0.5,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,0.0,0.0,17.714796260504716,0.0,1.014092584749083,0.0,241.41513763241292,0.0,1.9893176307304792,0.0,375.2677764298908,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,608,"[157, 145, 153, 153]",0.0,1.0,0.0,258.053333163212,"[62.60254917600296, 69.9729702224526, 71.61863780480883, 53.85917595994767]",0.0,1.0,0.0,146.0340471976478,"[44.497705891418924, 37.708487915331624, 33.63376105326526, 30.194092337632117]",0.0,0.0,45,22.38704449145625,0.4974898775879167,25.650000000000002,20.05,0.0,62403,72407,659.9954637620365,659.9954637620367,659.9954637620365,659.9954637620365,0.0,0.0,0.0,0.0,0.0,387.3602327774317,-67.1818899347438,-271.612081892843,-1.210564410376505,1000.0,-2.2737367544323206e-13,0.0,-3.3590933602574093,-0.0033590933602574095,0.05,50.0,-0.06718186720514818,1000,50.0,-0.06718186720514818,1.5707963247559016,89.9999998831742,543.224163785686,0.5432241637856859,0.000375,566.8734803361509,0.5674409212574083,0.01773252878929401,999,1e-08,False,nan,543.224163785686,nan,False,none,False,False,False,False,True,False,4.904377025796832,3.1223457012889657,5.328814195145794,22.247375615853983,34.45780802651803,-0.09748424385185266,1.225598853937378,1.2905105429906005,1.7797499859088382,3.003820703797669,3.1078819791489396,1.5707963267948966,0.388,388,19.400000000000002,1.0,True,True,False,forward_velocity;no_sustained_inversion;tilt_rms;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,566.8734803361509,999,0.01773252878929401,1000,False,True
8,0.25,250000,251904,D0_DEFAULT_REWARD,,,0.5,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,0.0,0.0,2.1188924834348275,0.0,1.014092584749083,0.0,42.43757664961773,0.0,1.9893176307304792,0.0,45.17285899319887,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,92,"[24, 20, 26, 22]",0.0,1.0,0.0,49.54771803959014,"[10.153052128199223, 12.46737394972757, 14.35610985982978, 12.57118210183358]",0.0,1.0,0.0,26.83078707700937,"[4.4341895398618725, 9.427278117822631, 7.9711646687356765, 4.998154750589194]",0.0,0.0,9,5.193650793650795,0.5770723104056439,1.9500000000000002,1.5,0.0,62403,72408,137.56062664036796,137.56062664036793,137.56062664036796,137.56062664036796,0.0,0.0,0.0,0.0,0.0,0.7717464616971437,67.49359723176835,-27.85626218168472,-0.07670840971570231,98.0,2.842170943040401e-14,0.0,3.3746797484272872,0.03408767422653825,0.05,4.95,0.6817534845307651,1000,50.0,0.06749359496854575,0.47901182086238914,27.445355672291534,55.71252436336944,0.5627527713471661,0.0,67.80455946991448,0.6918832598970865,0.021621351871783955,98,1e-08,True,16.508981152754814,55.71252436336944,16.508981152754814,True,high_z_excursion,False,True,False,False,False,True,1.7526584162048406,0.5826530854510777,1.7526584162048406,2.4287319711184168,4.641426183534727,0.7270781899750616,0.1374887619039964,0.11283986017180421,0.17786509970617095,0.2874464270117778,0.7109970427186035,1.5707963267948966,0.0,0,0.0,1.0,False,False,False,full_horizon;forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,67.80455946991447,98,0.02162135187178395,99,True,False
9,0.25,250000,251904,D0_DEFAULT_REWARD,,,0.5,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,0.0,0.0,2.5889161457136947,0.0,1.014092584749083,0.0,44.87041109034207,0.0,1.9893176307304792,0.0,64.10118882293413,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,106,"[26, 25, 35, 20]",0.0,1.0,0.0,53.04071141573129,"[9.605980552636222, 16.48169047003495, 17.19597174827667, 9.757068644783425]",0.0,1.0,0.0,36.22477420483395,"[9.315239848382088, 7.679664195155459, 9.00280062598424, 10.227069535312149]",0.0,0.0,10,6.027167277167277,0.6027167277167277,1.85,2.9000000000000004,0.0,62403,72409,161.80140409357736,161.8014040935773,161.80140409357736,161.80140409357736,0.0,0.0,0.0,0.0,0.0,1.1489680395266895,84.91121210507495,-32.97060739771708,-0.13920061378055984,110.0,5.684341886080802e-14,0.0,4.24558685998602,0.03824853027014432,0.05,5.550000000000001,0.7649706054028863,1000,50.0,0.0849117371997204,0.1810890626206239,10.375639004142025,65.94121479543416,0.5940649981570645,0.0,82.84531666283823,0.7531392423894384,0.02353560132466995,110,1e-08,True,15.531707858086621,65.94121479543416,15.531707858086621,True,high_z_excursion,False,True,False,False,False,True,0.7773452045798268,0.3006500146692036,0.812105195062546,2.0606885356777758,5.215007286805066,0.8141094779921287,0.181651286278426,0.09325312239518695,0.2041894577177245,0.3291767696470338,0.5004263666555826,1.5707963267948966,0.0,0,0.0,1.0,False,False,False,full_horizon;forward_velocity;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,82.84531666283823,110,0.02353560132466995,111,True,False
10,0.25,250000,251904,D0_DEFAULT_REWARD,,,0.5,0.5,0.0,0.0,1.0,velocity_tanh_squared,0.0,0.0,1.0,0.0,1.0,cosine,False,1.0,0.5,0.0,0.0,0.0,0.0,0.0,13.431498018549979,0.0,1.014092584749083,0.0,46.6899856265634,0.0,1.9893176307304792,0.0,272.45497831595065,"['left_ankle_geom', 'right_ankle_geom', 'third_ankle_geom', 'fourth_ankle_geom']",0.03,62,"[17, 9, 9, 27]",0.0,1.0,0.0,20.70393324654399,"[3.563328927827316, 4.465063789315696, 5.9794767824972785, 6.696063746903704]",0.0,1.0,0.0,11.19472492399268,"[3.9019328308984815, 1.5657677006797652, 3.7923317975665256, 1.934692594847908]",0.0,0.0,3,1.7930107526881722,0.5976702508960574,30.200000000000003,19.55,0.0,62403,72410,792.478981375085,792.4789813750845,792.478981375085,792.478981375085,0.0,0.0,0.0,0.0,0.0,939.6987456561856,39.6370206956595,-245.78507679802811,-1.3729625225469004,1000.0,5.684341886080801e-13,0.0,1.9817563158527665,0.0019817563158527666,0.05,50.0,0.039635126317055326,1000,50.0,0.039635126317055326,0.39107045827001047,22.40668675111858,491.57015359605623,0.4915701535960562,0.0005,429.8079365935993,0.4302381747683677,0.01344494296151149,999,1e-08,True,248.04772900876537,491.57015359605623,248.04772900876537,False,none,False,False,False,False,True,False,0.8170915969524644,0.7296579728527084,1.0883878890635226,9.539126826113684,16.341370031567294,0.12127234815835677,2.7447901642151837,0.4598002364442794,2.7830359866531786,3.024119761491402,3.116302031254857,1.5707963267948966,0.968,968,48.400000000000006,1.0,True,True,False,forward_velocity;no_sustained_inversion;tilt_rms;direction_error;path_efficiency,True,False,nan,0,0.0,0.0,0.0,0.0,429.8079365935993,999,0.01344494296151149,1000,False,True
