distance_m,x_m,y_m,height_m
0.000000,-34.000000,-34.000000,-1.934831023
0.120208,-33.915000,-33.915000,-1.935037921
0.240416,-33.830000,-33.830000,-1.935037921
0.360624,-33.745000,-33.745000,-1.935037921
0.480833,-33.660000,-33.660000,-1.935037921
0.601041,-33.575000,-33.575000,-1.935037921
0.721249,-33.490000,-33.490000,-1.935037921
0.841457,-33.405000,-33.405000,-1.935037921
0.961665,-33.320000,-33.320000,-1.935037921
1.081873,-33.235000,-33.235000,-1.935037921
1.202082,-33.150000,-33.150000,-1.935037921
1.322290,-33.065000,-33.065000,-1.935037921
1.442498,-32.980000,-32.980000,-1.935037921
1.562706,-32.895000,-32.895000,-1.935037921
1.682914,-32.810000,-32.810000,-1.935037921
1.803122,-32.725000,-32.725000,-1.935037921
1.923330,-32.640000,-32.640000,-1.935036641
2.043539,-32.555000,-32.555000,-1.934206026
2.163747,-32.470000,-32.470000,-1.927455684
2.283955,-32.385000,-32.385000,-1.912367819
2.404163,-32.300000,-32.300000,-1.888523062
2.524371,-32.215000,-32.215000,-1.855902474
2.644579,-32.130000,-32.130000,-1.814939768
2.764788,-32.045000,-32.045000,-1.766571532
2.884996,-31.960000,-31.960000,-1.712285358
3.005204,-31.875000,-31.875000,-1.654165819
3.125412,-31.790000,-31.790000,-1.594963700
3.245620,-31.705000,-31.705000,-1.538377796
3.365828,-31.620000,-31.620000,-1.488627039
3.486036,-31.535000,-31.535000,-1.450408780
3.606245,-31.450000,-31.450000,-1.420925515
3.726453,-31.365000,-31.365000,-1.391559456
3.846661,-31.280000,-31.280000,-1.361603514
3.966869,-31.195000,-31.195000,-1.331077927
4.087077,-31.110000,-31.110000,-1.300003010
4.207285,-31.025000,-31.025000,-1.268399135
4.327494,-30.940000,-30.940000,-1.236286712
4.447702,-30.855000,-30.855000,-1.203672097
4.567910,-30.770000,-30.770000,-1.170583370
4.688118,-30.685000,-30.685000,-1.137049319
4.808326,-30.600000,-30.600000,-1.103090282
4.928534,-30.515000,-30.515000,-1.068726539
5.048742,-30.430000,-30.430000,-1.033978285
5.168951,-30.345000,-30.345000,-0.998865624
5.289159,-30.260000,-30.260000,-0.963408547
5.409367,-30.175000,-30.175000,-0.927626921
5.529575,-30.090000,-30.090000,-0.891540474
5.649783,-30.005000,-30.005000,-0.855168785
5.769991,-29.920000,-29.920000,-0.818528351
5.890199,-29.835000,-29.835000,-0.781634722
6.010408,-29.750000,-29.750000,-0.744515379
6.130616,-29.665000,-29.665000,-0.707189157
6.250824,-29.580000,-29.580000,-0.669674684
6.371032,-29.495000,-29.495000,-0.631990380
6.491240,-29.410000,-29.410000,-0.594154448
6.611448,-29.325000,-29.325000,-0.556184867
6.731657,-29.240000,-29.240000,-0.518099389
6.851865,-29.155000,-29.155000,-0.479915535
6.972073,-29.070000,-29.070000,-0.441650588
7.092281,-28.985000,-28.985000,-0.403321594
7.212489,-28.900000,-28.900000,-0.364945476
7.332697,-28.815000,-28.815000,-0.326540145
7.452905,-28.730000,-28.730000,-0.288121942
7.573114,-28.645000,-28.645000,-0.249706904
7.693322,-28.560000,-28.560000,-0.211310829
7.813530,-28.475000,-28.475000,-0.172949272
7.933738,-28.390000,-28.390000,-0.134637554
8.053946,-28.305000,-28.305000,-0.096390755
8.174154,-28.220000,-28.220000,-0.058223726
8.294363,-28.135000,-28.135000,-0.020151089
8.414571,-28.050000,-28.050000,0.017812761
8.534779,-27.965000,-27.965000,0.055649172
8.654987,-27.880000,-27.880000,0.093343989
8.775195,-27.795000,-27.795000,0.130886944
8.895403,-27.710000,-27.710000,0.168264524
9.015611,-27.625000,-27.625000,0.205463413
9.135820,-27.540000,-27.540000,0.242470486
9.256028,-27.455000,-27.455000,0.279272798
9.376236,-27.370000,-27.370000,0.315857585
9.496444,-27.285000,-27.285000,0.352212248
9.616652,-27.200000,-27.200000,0.388324352
9.736860,-27.115000,-27.115000,0.424181613
9.857069,-27.030000,-27.030000,0.459769238
9.977277,-26.945000,-26.945000,0.495065349
10.097485,-26.860000,-26.860000,0.530069651
10.217693,-26.775000,-26.775000,0.564770418
10.337901,-26.690000,-26.690000,0.599156036
10.458109,-26.605000,-26.605000,0.633214998
10.578317,-26.520000,-26.520000,0.666935891
10.698526,-26.435000,-26.435000,0.700307390
10.818734,-26.350000,-26.350000,0.733318252
10.938942,-26.265000,-26.265000,0.765957304
11.059150,-26.180000,-26.180000,0.798213442
11.179358,-26.095000,-26.095000,0.830075618
11.299566,-26.010000,-26.010000,0.861516197
11.419775,-25.925000,-25.925000,0.892536395
11.539983,-25.840000,-25.840000,0.923128922
11.660191,-25.755000,-25.755000,0.953282900
11.780399,-25.670000,-25.670000,0.982987475
11.900607,-25.585000,-25.585000,1.012231811
12.020815,-25.500000,-25.500000,1.041005085
12.141023,-25.415000,-25.415000,1.069296485
12.261232,-25.330000,-25.330000,1.097095203
12.381440,-25.245000,-25.245000,1.124390429
12.501648,-25.160000,-25.160000,1.151171356
12.621856,-25.075000,-25.075000,1.177415732
12.742064,-24.990000,-24.990000,1.203109843
12.862272,-24.905000,-24.905000,1.228256355
12.982481,-24.820000,-24.820000,1.252844428
13.102689,-24.735000,-24.735000,1.276863210
13.222897,-24.650000,-24.650000,1.300301842
13.343105,-24.565000,-24.565000,1.323149458
13.463313,-24.480000,-24.480000,1.345395182
13.583521,-24.395000,-24.395000,1.367028139
13.703729,-24.310000,-24.310000,1.388037453
13.823938,-24.225000,-24.225000,1.408412249
13.944146,-24.140000,-24.140000,1.428138935
14.064354,-24.055000,-24.055000,1.447181621
14.184562,-23.970000,-23.970000,1.465556397
14.304770,-23.885000,-23.885000,1.483252462
14.424978,-23.800000,-23.800000,1.500259057
14.545186,-23.715000,-23.715000,1.516565467
14.665395,-23.630000,-23.630000,1.532161035
14.785603,-23.545000,-23.545000,1.547035169
14.905811,-23.460000,-23.460000,1.561177359
15.026019,-23.375000,-23.375000,1.574577183
15.146227,-23.290000,-23.290000,1.587224325
15.266435,-23.205000,-23.205000,1.599108587
15.386644,-23.120000,-23.120000,1.610194197
15.506852,-23.035000,-23.035000,1.620486608
15.627060,-22.950000,-22.950000,1.629985614
15.747268,-22.865000,-22.865000,1.638681661
15.867476,-22.780000,-22.780000,1.646565399
15.987684,-22.695000,-22.695000,1.653627699
16.107892,-22.610000,-22.610000,1.659859668
16.228101,-22.525000,-22.525000,1.665252676
16.348309,-22.440000,-22.440000,1.669798371
16.468517,-22.355000,-22.355000,1.673488699
16.588725,-22.270000,-22.270000,1.676315932
16.708933,-22.185000,-22.185000,1.678258307
16.829141,-22.100000,-22.100000,1.679297632
16.949350,-22.015000,-22.015000,1.679452279
17.069558,-21.930000,-21.930000,1.678716077
17.189766,-21.845000,-21.845000,1.677083292
17.309974,-21.760000,-21.760000,1.674548650
17.430182,-21.675000,-21.675000,1.671107363
17.550390,-21.590000,-21.590000,1.666755154
17.670598,-21.505000,-21.505000,1.661488274
17.790807,-21.420000,-21.420000,1.655303531
17.911015,-21.335000,-21.335000,1.648198315
18.031223,-21.250000,-21.250000,1.640170613
18.151431,-21.165000,-21.165000,1.631177247
18.271639,-21.080000,-21.080000,1.621259229
18.391847,-20.995000,-20.995000,1.610416572
18.512056,-20.910000,-20.910000,1.598649984
18.632264,-20.825000,-20.825000,1.585960888
18.752472,-20.740000,-20.740000,1.572351443
18.872680,-20.655000,-20.655000,1.557824561
18.992888,-20.570000,-20.570000,1.542383929
19.113096,-20.485000,-20.485000,1.526034023
19.233304,-20.400000,-20.400000,1.508780126
19.353513,-20.315000,-20.315000,1.490628345
19.473721,-20.230000,-20.230000,1.471560054
19.593929,-20.145000,-20.145000,1.451594576
19.714137,-20.060000,-20.060000,1.430755400
19.834345,-19.975000,-19.975000,1.409052162
19.954553,-19.890000,-19.890000,1.386495384
