#{"t_start": 1787236781.9817603, "env_id": "Ant-v5"}
r,l,t
-25.866321,44,1.419976
-59.55137,34,1.444122
-101.056924,69,1.491557
-27.993704,20,1.505558
-1065.317509,1000,2.189569
-15.981171,31,2.210569
-21.251677,13,2.219569
-20.204067,18,2.23057
-998.502134,1000,3.307149
-28.627759,14,3.317149
-130.543119,86,3.376157
-44.86686,30,3.396672
-6.771494,15,3.407673
-594.972205,600,3.818964
-34.693217,26,3.836964
-38.366879,45,3.866965
-11.401804,13,3.875972
-1063.873892,1000,4.562257
