#{"t_start": 1787236781.9827595, "env_id": "Ant-v5"}
r,l,t
-44.413278,44,1.418977
-40.871607,34,1.443123
-79.939747,69,1.490558
-23.970674,20,1.505558
-1200.631931,1000,2.183569
-31.600306,31,2.20557
-16.58469,13,2.214571
-19.746104,18,2.22657
-1178.945549,1000,3.302155
-27.524364,20,3.31615
-51.076964,51,3.351151
-33.669904,32,3.373158
-18.730897,13,3.381672
-53.263768,42,3.409674
-72.987961,75,3.458675
-52.905425,46,3.489711
-29.256257,27,3.507392
-11.894742,9,3.513392
-26.448605,25,3.530392
-13.380328,11,3.537392
-65.37135,58,3.5754
-11.476442,9,3.581915
-68.535311,67,3.625916
-11.874897,12,3.633917
-18.905915,17,3.645917
-95.077289,88,3.704439
-21.724721,22,3.719439
-23.529213,22,3.736436
-13.352178,13,3.74544
-16.52159,17,3.75844
-105.448601,88,3.817964
-60.228149,53,3.852965
-12.55434,12,3.861965
-41.796115,39,3.887487
-18.69335,17,3.899488
-52.746819,53,3.936489
-59.574921,57,3.974497
-47.494012,45,4.004019
-54.435871,44,4.034149
-130.191159,115,4.110672
-52.453891,57,4.149673
-54.757731,53,4.185707
