"condition_id","training_seed","evaluation_seed","body_dynamics_enabled","use_sde","trajectory_frames","video_frames","padded_frames","termination_category","intent_compliant","video_path","video_sha256"
"B0__G0","41501","51501","False","False","1000","1000","0","none","False","not_committed/B0__G0__tr41501__ev51501__t1000000.mp4","ecf36df8349c04b3b4552614af8b79e800c59e79db81f98dc04a2e12c5a0a1d5"
"B0__G0","41502","51501","False","False","1000","1000","0","none","False","not_committed/B0__G0__tr41502__ev51501__t1000000.mp4","5748c2799d4b26901f75fda14fa7fadaf1a3be25545999f0251e1fea1d681f52"
"B0__G0","41503","51501","False","False","1000","1000","0","none","False","not_committed/B0__G0__tr41503__ev51501__t1000000.mp4","9542cf2d8b5ff6fc68d84979c19bdec31aaa08fb2acd814e6067c352fda3aad9"
"B1__G0","41501","51501","True","False","1000","1000","0","none","False","not_committed/B1__G0__tr41501__ev51501__t1000000.mp4","f1ec6d52b84c732523552dd3cb665a8d00162b787f1251f34329ec203fa2fb6b"
"B1__G0","41502","51501","True","False","1000","1000","0","none","False","not_committed/B1__G0__tr41502__ev51501__t1000000.mp4","a40c2e4bcaf559d8528289b6398a3d4ac8957f088b11e4660516ceec02bf1241"
"B1__G0","41503","51501","True","False","1000","1000","0","none","False","not_committed/B1__G0__tr41503__ev51501__t1000000.mp4","bbffd23e6dde7f9a9a86b78d562c19db85454874b0dfec9ea31b643b8d83ca6b"
"B0__G8","41501","51501","False","True","8","1000","992","high_z_excursion","False","not_committed/B0__G8__tr41501__ev51501__t1000000.mp4","9aa4d41545996766c4dcbae708e8de80721bdd23a55513a02395f0c7371e32a8"
"B0__G8","41502","51501","False","True","8","1000","992","high_z_excursion","False","not_committed/B0__G8__tr41502__ev51501__t1000000.mp4","0cf6445f3537ca4c810e147ad518e91bedba0f917055f0f2a3fac1c96190fea5"
"B0__G8","41503","51501","False","True","9","1000","991","high_z_excursion","False","not_committed/B0__G8__tr41503__ev51501__t1000000.mp4","6d9b52f0031b65fc6375d1764a5c9226128be5277ab3d31bf9fe2e656507a5dd"
"B1__G8","41501","51501","True","True","8","1000","992","high_z_excursion","False","not_committed/B1__G8__tr41501__ev51501__t1000000.mp4","fc26c70105e80839adefe8ac1e387b27ac857688cded598a8dffa9e45ec12bcc"
"B1__G8","41502","51501","True","True","11","1000","989","high_z_excursion","False","not_committed/B1__G8__tr41502__ev51501__t1000000.mp4","0a726b83a72a30721478489bc9c609ee2082c37afa92147eb381fad1b5576f9b"
"B1__G8","41503","51501","True","True","8","1000","992","high_z_excursion","False","not_committed/B1__G8__tr41503__ev51501__t1000000.mp4","665501b804176c1d6e65528a5df08ede3d8a42b692fb2975c3669f67a7300f68"
