metric,effect,mean,std,min,max
direction_error_degrees,body_main,-0.6104422874242438,15.38529447436984,-14.641117533383465,15.842183090514176
direction_error_degrees,gsde_main,50.557050143406855,11.124744339062605,37.711303322980164,56.98522248075406
direction_error_degrees,interaction,4.185255101738277,19.842994951604283,-14.870722125829573,24.731262937515083
fixed_horizon_forward_velocity_m_per_s,body_main,-0.015533717434479016,0.021839880612126713,-0.03756628070185287,0.006108240744907232
fixed_horizon_forward_velocity_m_per_s,gsde_main,-0.9436800500563498,0.019626855480025445,-0.9555893153015906,-0.9210268993251463
fixed_horizon_forward_velocity_m_per_s,interaction,0.02914180046504347,0.04888981238089339,-0.021409192317459972,0.07618106493919895
forward_path_efficiency,body_main,-0.07787509563739299,0.21719268390396285,-0.3029399856475622,0.13048014626352192
forward_path_efficiency,gsde_main,-0.680567892179967,0.164788970099739,-0.8305029763574437,-0.5041360333781477
forward_path_efficiency,interaction,-0.05104766118350738,0.26168888567060966,-0.3493897674316259,0.13965727705984549
intent_compliant,body_main,0.0,0.0,0.0,0.0
intent_compliant,gsde_main,0.0,0.0,0.0,0.0
intent_compliant,interaction,0.0,0.0,0.0,0.0
max_abs_root_vertical_velocity_m_per_s,body_main,-0.2098764562778537,0.469170107801366,-0.7179947312953793,0.20691698615539666
max_abs_root_vertical_velocity_m_per_s,gsde_main,3.058272461183074,0.7857095875975179,2.2875841845671463,3.858187752922798
max_abs_root_vertical_velocity_m_per_s,interaction,0.13123124146219753,0.9034166270327001,-0.7912852285708383,1.014252589952951
max_raw_floor_force_norm,body_main,-35.36398247523551,24.655457671330733,-58.796051923813025,-9.644548734973469
max_raw_floor_force_norm,gsde_main,-144.98572125149508,74.31808786679561,-230.25876761989164,-94.00900283776411
max_raw_floor_force_norm,interaction,27.302085309569023,92.7575660080903,-29.72337471694145,134.33257594625817
max_root_roll_pitch_angular_speed_rad_per_s,body_main,-0.12201400751353016,1.0123338046010621,-1.2665806016076684,0.6559272961874731
max_root_roll_pitch_angular_speed_rad_per_s,gsde_main,4.118567756276288,1.1134743939076917,2.8379826513733,4.85836693018361
max_root_roll_pitch_angular_speed_rad_per_s,interaction,-0.14863780588764394,2.725717186851636,-3.1446300543901193,2.184557107804292
no_floor_contact_step_fraction,body_main,-0.014624912846584718,0.05232385901719316,-0.054426754944402106,0.04464155464418623
no_floor_contact_step_fraction,gsde_main,0.3227593103376385,0.013594012133980078,0.31178823953823964,0.33796718444953733
no_floor_contact_step_fraction,interaction,0.09361684097349725,0.07011934137798548,0.02508310928837243,0.16522092352092338
no_foot_contact_step_fraction,body_main,-0.01254396046563234,0.04935002488465184,-0.05512675494440211,0.04154155464418621
no_foot_contact_step_fraction,gsde_main,0.31070692938525757,0.008799559461039455,0.30553109668109674,0.3208671844495373
no_foot_contact_step_fraction,interaction,0.09897874573540198,0.07147170652273106,0.03128310928837247,0.17370663780663753
normalised_action_roughness,body_main,-0.010924823412883538,0.025270786937425717,-0.0398079242093477,0.007113606010661275
normalised_action_roughness,gsde_main,0.28260905656273805,0.04377727449043563,0.2324673787769047,0.3132304696085867
normalised_action_roughness,interaction,-0.020392673003168372,0.04207489656421874,-0.06895785556509226,0.0050579092601898855
p95_raw_floor_force_norm,body_main,-12.07833728538426,27.650824657467904,-28.864261453007806,19.83573588224175
p95_raw_floor_force_norm,gsde_main,35.52521560385208,27.331526913167867,3.969538081009386,51.7409761174045
p95_raw_floor_force_norm,interaction,-14.413208004568121,49.2251993591077,-50.94503685175569,41.564632420673234
prominent_takeoff_count_vz_ge_1p25,body_main,-8.666666666666666,8.674723818850564,-15.3,1.15
prominent_takeoff_count_vz_ge_1p25,gsde_main,-11.533333333333333,8.592196071629962,-18.8,-2.05
prominent_takeoff_count_vz_ge_1p25,interaction,17.333333333333332,17.34944763770113,-2.3,30.6
rms_root_roll_pitch_angular_speed_rad_per_s,body_main,-0.10144434382892913,0.5416990775807904,-0.720226980170902,0.2871235325719873
rms_root_roll_pitch_angular_speed_rad_per_s,gsde_main,3.0099761104767224,0.5943280152559088,2.376555457314328,3.555399132001865
rms_root_roll_pitch_angular_speed_rad_per_s,interaction,0.031244208433245085,1.4065596901759245,-1.42161839437766,1.3864066567074802
rms_root_vertical_velocity_m_per_s,body_main,-0.05050643815566691,0.2112123948219669,-0.29415311535318645,0.08069230680155126
rms_root_vertical_velocity_m_per_s,gsde_main,1.8913949686240497,0.3510068832913551,1.4891852301814144,2.1358164264038066
rms_root_vertical_velocity_m_per_s,interaction,0.2110121428496309,0.3929221671081032,-0.2426359903774995,0.44418898992398614
torso_tilt_rms_rad,body_main,0.017297312781234756,0.03584952976812772,-0.004022710809020322,0.058686483858371635
torso_tilt_rms_rad,gsde_main,0.205559024268383,0.1085275286139339,0.09164226994754306,0.3077441001896266
torso_tilt_rms_rad,interaction,0.10942343354153616,0.14493247502998063,-0.05788287963297348,0.1965219489316788
unhealthy_termination,body_main,0.0,0.0,0.0,0.0
unhealthy_termination,gsde_main,1.0,0.0,1.0,1.0
unhealthy_termination,interaction,0.0,0.0,0.0,0.0
