"condition_id","training_seed","evaluation_seed","target_timesteps","trajectory_frames","video_frames","video_duration_seconds","padded_frames","termination_category","intent_compliant","intent_failure_reasons","video_path","video_sha256"
"Rt0p1_Rvy0__K0","41301","51301","300000","68","1000","50.0","932","high_z_excursion","False","full_horizon;forward_velocity;tilt_rms;direction_error;path_efficiency","not_committed/Rt0p1_Rvy0__K0__tr41301__ev51301__t300000.mp4","9217702058172c23e3f4148ddc7daa903fcca37b2dfed7cd3a9fd5322c0f8c32"
"Rt0p1_Rvy0__K0","41302","51301","300000","1000","1000","50.0","0","none","False","forward_velocity;direction_error;path_efficiency","not_committed/Rt0p1_Rvy0__K0__tr41302__ev51301__t300000.mp4","47e89aca647ca27cdb3bd412ac63faf841855b8fb8e0d4b4035c420a8365652d"
"Rt0p1_Rvy0__K0","41303","51301","300000","78","1000","50.0","922","high_z_excursion","False","full_horizon;forward_velocity;tilt_rms;direction_error;path_efficiency","not_committed/Rt0p1_Rvy0__K0__tr41303__ev51301__t300000.mp4","d9b043b82bc9a81f0a3bed7768aa4c88ec2717cd0f0cb2ffce99360e445d8566"
"Rt0p1_Rvy0p05__K0","41301","51301","300000","1000","1000","50.0","0","none","False","forward_velocity;no_sustained_inversion;tilt_rms;direction_error;path_efficiency","not_committed/Rt0p1_Rvy0p05__K0__tr41301__ev51301__t300000.mp4","04d27ba7c2250bddc174c8a16e0dea2a803127965655a961bcf3582c6473c906"
"Rt0p1_Rvy0p05__K0","41302","51301","300000","264","1000","50.0","736","high_z_excursion","False","full_horizon;forward_velocity;direction_error;path_efficiency","not_committed/Rt0p1_Rvy0p05__K0__tr41302__ev51301__t300000.mp4","872f0893352af2f18bbf0a6abf7a6e81a73789f271af75b0973349f48897d384"
"Rt0p1_Rvy0p05__K0","41303","51301","300000","491","1000","50.0","509","high_z_excursion","False","full_horizon;forward_velocity;direction_error;path_efficiency","not_committed/Rt0p1_Rvy0p05__K0__tr41303__ev51301__t300000.mp4","2663978fdb7bf83a523322ed2cfd039a691e392c5984d0483cfde8b79f539cc8"
"Rt0p1_Rvy0p1__K0","41301","51301","300000","1000","1000","50.0","0","none","False","forward_velocity;no_sustained_inversion;tilt_rms;direction_error;path_efficiency","not_committed/Rt0p1_Rvy0p1__K0__tr41301__ev51301__t300000.mp4","412821dd95bead70f413d5a29f8dd99fe32013eacf73e04df04dc0cc89cc7e10"
"Rt0p1_Rvy0p1__K0","41302","51301","300000","482","1000","50.0","518","high_z_excursion","False","full_horizon;forward_velocity;direction_error;path_efficiency","not_committed/Rt0p1_Rvy0p1__K0__tr41302__ev51301__t300000.mp4","b062bd7e5ba52601529cfcb132118ec597b77ba1ac1d35afd94b43a2b6cf3374"
"Rt0p1_Rvy0p1__K0","41303","51301","300000","1000","1000","50.0","0","none","False","forward_velocity;no_sustained_inversion;tilt_rms;direction_error;path_efficiency","not_committed/Rt0p1_Rvy0p1__K0__tr41303__ev51301__t300000.mp4","c859f05efc2ede58b3eb9623655f2a3064644e7b8c7d870eb21bb17ec21ae241"
"Rt0p1_Rvy0__K1p1","41301","51301","300000","1000","1000","50.0","0","none","False","forward_velocity;path_efficiency","not_committed/Rt0p1_Rvy0__K1p1__tr41301__ev51301__t300000.mp4","2dbb49f7a5dbb892aea88bbe348403185b51c45002754bf26ef42fee78627431"
"Rt0p1_Rvy0__K1p1","41302","51301","300000","1000","1000","50.0","0","none","False","direction_error;path_efficiency","not_committed/Rt0p1_Rvy0__K1p1__tr41302__ev51301__t300000.mp4","4c6ee8f450c34826b6b32c992e4cfd906c51071ff63b59b33b63abc3e6a43b03"
"Rt0p1_Rvy0__K1p1","41303","51301","300000","1000","1000","50.0","0","none","False","forward_velocity;direction_error;path_efficiency","not_committed/Rt0p1_Rvy0__K1p1__tr41303__ev51301__t300000.mp4","892a4dc9bb74a3243c4a510dd96c4e637aa6a23a9dab655de81388f517c0af45"
"Rt0p1_Rvy0p05__K1p1","41301","51301","300000","1000","1000","50.0","0","none","False","direction_error;path_efficiency","not_committed/Rt0p1_Rvy0p05__K1p1__tr41301__ev51301__t300000.mp4","09ef6981d6f106f201ed6341361787429586a350dd8051cacdb8f71e6a9f1791"
"Rt0p1_Rvy0p05__K1p1","41302","51301","300000","1000","1000","50.0","0","none","False","path_efficiency","not_committed/Rt0p1_Rvy0p05__K1p1__tr41302__ev51301__t300000.mp4","ba8e7ef14a504ca7cfafcbcf18bdb25183108ff91aca92c126b6fb3493ad21a0"
"Rt0p1_Rvy0p05__K1p1","41303","51301","300000","1000","1000","50.0","0","none","False","forward_velocity;no_sustained_inversion;tilt_rms;path_efficiency","not_committed/Rt0p1_Rvy0p05__K1p1__tr41303__ev51301__t300000.mp4","5e0ad2c525c2bf0bf1b3b5d86f63e1caa282f508e9ccc879165eedc59277ee7d"
"Rt0p1_Rvy0p1__K1p1","41301","51301","300000","1000","1000","50.0","0","none","False","forward_velocity;no_sustained_inversion;tilt_rms;path_efficiency","not_committed/Rt0p1_Rvy0p1__K1p1__tr41301__ev51301__t300000.mp4","e227aa722ee191b951cb1cca738b53a88d9fe005cf459bbf82b7acde912d800c"
"Rt0p1_Rvy0p1__K1p1","41302","51301","300000","217","1000","50.0","783","high_z_excursion","False","full_horizon;forward_velocity;direction_error;path_efficiency","not_committed/Rt0p1_Rvy0p1__K1p1__tr41302__ev51301__t300000.mp4","de4c981772e71efdda2ab9c9292abb7a3d1848df04a309b58a09e34473cb49d3"
"Rt0p1_Rvy0p1__K1p1","41303","51301","300000","1000","1000","50.0","0","none","False","forward_velocity;no_sustained_inversion;tilt_rms;path_efficiency","not_committed/Rt0p1_Rvy0p1__K1p1__tr41303__ev51301__t300000.mp4","36435d008fc20eb8a6a32d2b1a1b239e9bbbf4e082313fbb516fafb1b3d4ef60"
