"condition_id","training_seed","evaluation_seed","replace_forward_reward_with_tracking","action_rate_shaping_weight","trajectory_frames","video_frames","padded_frames","termination_category","intent_compliant","video_path","video_sha256"
"Flinear__Ar0","41401","51401","False","0.0","196","1000","804","high_z_excursion","False","not_committed/Flinear__Ar0__tr41401__ev51401__t300000.mp4","0026994df7cd1ff8da463abfc7fcac2d45e23fc992f62c311f9d4307f76f2825"
"Flinear__Ar0","41402","51401","False","0.0","1000","1000","0","none","False","not_committed/Flinear__Ar0__tr41402__ev51401__t300000.mp4","9dd1756e39148a22783eb832fede7344aba9e164f7ae4524f29fa37bb2076cd4"
"Flinear__Ar0","41403","51401","False","0.0","68","1000","932","high_z_excursion","False","not_committed/Flinear__Ar0__tr41403__ev51401__t300000.mp4","59a33cdbc3238361b3685fe1f7e775cf54d130bc5780a96092e044f4903dae06"
"Ftrack__Ar0","41401","51401","True","0.0","1000","1000","0","none","False","not_committed/Ftrack__Ar0__tr41401__ev51401__t300000.mp4","4f13ca36379edd41e72ad995091cebf62e9979c9cd556d78b7bdb395d5f37810"
"Ftrack__Ar0","41402","51401","True","0.0","1000","1000","0","none","False","not_committed/Ftrack__Ar0__tr41402__ev51401__t300000.mp4","484593c9af0ed938cb207214105ae4a0f0ddc1b19c9b5576f1624f94c6ddfc91"
"Ftrack__Ar0","41403","51401","True","0.0","1000","1000","0","none","False","not_committed/Ftrack__Ar0__tr41403__ev51401__t300000.mp4","0b90cc2d08da15232935f14083d4478ce80295342c4b6bf82612d857bade375c"
"Flinear__Ar0p2","41401","51401","False","0.2","233","1000","767","high_z_excursion","False","not_committed/Flinear__Ar0p2__tr41401__ev51401__t300000.mp4","5d0d2eef7c42f742b03eab7801d72908c795ace71b4c150f31ebe4dfd6f674cf"
"Flinear__Ar0p2","41402","51401","False","0.2","619","1000","381","high_z_excursion","False","not_committed/Flinear__Ar0p2__tr41402__ev51401__t300000.mp4","83b273470831b87c302e6ebacc527b1c0b6b5c9e1c8cd1168c7b5ea69f0ef626"
"Flinear__Ar0p2","41403","51401","False","0.2","257","1000","743","high_z_excursion","False","not_committed/Flinear__Ar0p2__tr41403__ev51401__t300000.mp4","291ee1cfae39a01a9bd8a9c317aab1c42af3798ef84f93efe9621adfcb67598f"
"Ftrack__Ar0p2","41401","51401","True","0.2","1000","1000","0","none","False","not_committed/Ftrack__Ar0p2__tr41401__ev51401__t300000.mp4","8d75c46e6fd3e38540354d03b7de8e9a61620d4424d55323019579ce3b6a921d"
"Ftrack__Ar0p2","41402","51401","True","0.2","1000","1000","0","none","False","not_committed/Ftrack__Ar0p2__tr41402__ev51401__t300000.mp4","9d87ffa0f2a1c76b75a5ae66f8416480139d9eccff250ad3097b43e041eedab6"
"Ftrack__Ar0p2","41403","51401","True","0.2","1000","1000","0","none","False","not_committed/Ftrack__Ar0p2__tr41403__ev51401__t300000.mp4","cf9dd720a0a3a9d481a866e8c74d3dfeca4f2fa377479d65def209a7e2a92c9c"
