condition_id,training_seed,evaluation_seed,replace_forward_reward_with_tracking,action_rate_shaping_weight,episode_steps,net_forward_progress_m,net_lateral_displacement_m,fixed_horizon_forward_velocity_m_per_s,direction_error_degrees,forward_path_efficiency,objective_return,proposed_normalised_action_roughness,applied_normalised_action_roughness,torso_tilt_rms_rad,unhealthy_termination,no_floor_contact_step_fraction,no_foot_contact_step_fraction,prominent_takeoff_count_vz_ge_1p25,max_root_velocity_z_m_per_s,rms_root_velocity_z_m_per_s,rms_root_angular_velocity_rad_per_s,max_raw_floor_force_norm,p95_raw_floor_force_norm,same_side_pair_contact_fraction,diagonal_pair_contact_fraction,front_pair_simultaneous_contact_fraction,exploratory_hopping_dominant_flag
Flinear__Ar0,41401,51401,False,0.0,196,8.524485146299082,-0.764000038971649,0.17048970292598165,5.121404276194242,0.6668002178563222,273.10571415587674,0.023137987999886728,0.023137987999886728,0.2651282693709265,True,0.6989795918367347,0.7091836734693877,10,3.356499651888803,0.9705791408388117,2.2627158139934926,281.4295781066824,64.97894498011823,0.03571428571428571,0.015306122448979591,0.00510204081632653,True
Flinear__Ar0,41402,51401,False,0.0,1000,-3.890546953081062,4.794735644511073,-0.07781093906162125,89.99999999998805,-0.10231090835326527,654.2576779436858,0.019501654545900797,0.019501654545900797,0.1710083642021,False,0.587,0.593,21,2.1620197955165623,0.6448973749882224,1.922863652106672,355.6792930372469,64.58971978166119,0.061,0.03,0.012,True
Flinear__Ar0,41403,51401,False,0.0,68,1.1355737688331158,-1.669773835324224,0.022711475376662314,55.78130490935573,0.3266674677987951,63.0035283022784,0.028598833114364564,0.028598833114364564,0.2936202080604624,True,0.6323529411764706,0.6323529411764706,2,3.335970972131522,1.056614241554416,2.1136346314630976,137.33044612594597,114.49971333554454,0.07352941176470588,0.029411764705882353,0.029411764705882353,True
Ftrack__Ar0,41401,51401,True,0.0,1000,6.249723738029308,2.3266885857391646,0.12499447476058617,20.41962598224847,0.23897097373967993,1000.3663660592658,0.013226295346239434,0.013226295346239434,0.15120134228952098,False,0.458,0.47,2,1.9664961096443008,0.4979489635040083,1.387799565011155,153.0597545370096,50.15794046400277,0.137,0.063,0.019,True
Ftrack__Ar0,41402,51401,True,0.0,1000,9.55284168116426,-0.2657982951534342,0.1910568336232852,1.5937867332619002,0.37849584954875726,1032.9477949680913,0.013380120520217373,0.013380120520217373,0.14426336039343368,False,0.411,0.418,1,1.4141324092937837,0.3667208860631837,1.1653663141329345,166.8854254240129,46.8384643998739,0.132,0.058,0.043,True
Ftrack__Ar0,41403,51401,True,0.0,1000,7.543789281284844,-5.092996910194396,0.15087578562569687,34.024249935982006,0.28821922361914315,990.7852921797523,0.013340164137113114,0.013340164137113114,0.1918178354735108,False,0.433,0.442,5,1.867008221463916,0.4707769958747093,1.4014121494045912,265.1252564230756,47.874488898427494,0.134,0.054,0.001,True
Flinear__Ar0p2,41401,51401,False,0.2,233,4.502887091607529,-8.405247444212595,0.09005774183215058,61.82100755782994,0.3231708154085858,206.6636568655374,0.03075890784543745,0.03075890784543745,0.28055387021237066,True,0.7081545064377682,0.7124463519313304,11,2.409551858860321,0.846799225534725,2.325975313037873,367.85712558823,125.92367724129312,0.04721030042918455,0.04721030042918455,0.012875536480686695,True
Flinear__Ar0p2,41402,51401,False,0.2,619,7.402139160495285,-7.684330376947574,0.1480427832099057,46.071588050697876,0.30673178628765246,507.45272121553074,0.024002963158911816,0.024002963158911816,0.19811888254704613,True,0.567043618739903,0.5718901453957996,12,2.8939033931845355,0.6541571161125312,1.8638644771146067,357.0397915347237,56.56786373034183,0.07754442649434572,0.050080775444264945,0.025848142164781908,True
Flinear__Ar0p2,41403,51401,False,0.2,257,0.8102292273134263,3.517032773382164,0.016204584546268525,77.02694209139652,0.062094386947999396,171.4235009044587,0.027065054707496598,0.027065054707496598,0.2430681487139155,True,0.6147859922178989,0.6303501945525292,7,2.7545734834857543,0.7625763435647879,2.0330377586368313,268.51575690626754,46.70695913701161,0.0622568093385214,0.03501945525291829,0.007782101167315175,True
Ftrack__Ar0p2,41401,51401,True,0.2,1000,10.902674912745178,1.5774842827936078,0.21805349825490355,8.232868268119205,0.3333235151327673,1034.8333539384428,0.0159890397239855,0.0159890397239855,0.13735198410990362,False,0.504,0.52,17,1.9287825604360203,0.6160386860715098,1.5132022483514977,198.17625484493982,54.1670205885451,0.105,0.059,0.027,True
Ftrack__Ar0p2,41402,51401,True,0.2,1000,0.667427154977994,-7.526985292002841,0.01334854309955988,84.93276471175565,0.024222043759638566,952.3237619510605,0.009973916388595117,0.009973916388595117,0.19299244876880234,False,0.438,0.443,5,1.4464175741827563,0.49753571247639855,1.3774220664025343,175.81865332228776,58.211849174188096,0.113,0.061,0.021,True
Ftrack__Ar0p2,41403,51401,True,0.2,1000,8.829936942943942,-1.5930882181385577,0.17659873885887883,10.227224438667516,0.2500760770338764,1025.851095242871,0.012149541195739954,0.012149541195739954,0.18068446494244741,False,0.499,0.507,11,1.7837073736201376,0.5457308957407447,1.6294152031816689,294.95540037057805,56.94201467024418,0.095,0.056,0.019,True
